TASML, 0, 20.0, 21.74, 24.31, 37.1, 8.836211919784546, 169.13678812980652, 0.056472063064575195, 178.06350111961365
TASML, 1, 20.0, 13.46, 21.8, 34.69, 8.871968984603882, 238.94371819496155, 0.048357248306274414, 247.89758706092834
TASML, 2, 20.0, 15.06, 34.92, 54.46, 8.837174892425537, 117.23847007751465, 0.06948113441467285, 126.1788399219513
TASML, 3, 20.0, 19.1, 23.17, 25.51, 8.886874198913574, 301.69322299957275, 0.021554946899414062, 310.63542318344116
TASML, 4, 20.0, 36.99, 28.28, 33.19, 8.848084926605225, 302.01450204849243, 0.036956787109375, 310.93337178230286
TASML, 5, 20.0, 23.14, 31.79, 48.75, 8.86087703704834, 161.21916222572327, 0.07916688919067383, 170.1926589012146
TASML, 6, 20.0, 14.19, 33.09, 37.66, 8.835365056991577, 153.10397005081177, 0.01006174087524414, 161.9829659461975
TASML, 7, 20.0, 6.01, 24.61, 46.51, 8.881824016571045, 191.74271416664124, 0.061631202697753906, 200.71960592269897
TASML, 8, 20.0, 24.27, 25.84, 34.36, 8.8473641872406, 180.88281869888306, 0.10182929039001465, 189.86589217185974
TASML, 9, 20.0, 3.91, 24.04, 39.8, 8.86152696609497, 181.3222258090973, 0.06612181663513184, 190.2832260131836
