MAML, 0, 20.0, -, 24.71, 59.23, -, 13.019564867019653, 0.511253833770752, 13.54952073097229
MAML, 1, 20.0, -, 26.48, 71.29, -, 13.021438837051392, 0.31580066680908203, 13.35674786567688
MAML, 2, 20.0, -, 33.72, 73.19, -, 12.629884004592896, 0.34776902198791504, 12.996042966842651
MAML, 3, 20.0, -, 23.91, 75.33, -, 12.767734050750732, 0.20893311500549316, 12.99561595916748
MAML, 4, 20.0, -, 8.21, 65.14, -, 12.860866069793701, 0.5828452110290527, 13.462303161621094
MAML, 5, 20.0, -, 17.76, 60.13, -, 12.967581987380981, 0.5184600353240967, 13.50478196144104
MAML, 6, 20.0, -, 24.17, 74.96, -, 12.914314985275269, 0.1795670986175537, 13.112688302993774
MAML, 7, 20.0, -, 27.45, 74.82, -, 13.469046115875244, 0.18653297424316406, 13.674107074737549
MAML, 8, 20.0, -, 21.4, 65.78, -, 13.204032897949219, 0.5961489677429199, 13.81962275505066
MAML, 9, 20.0, -, 24.64, 70.58, -, 13.524914026260376, 0.4219222068786621, 13.965227127075195
