BASE, 0, 20.0, -, 23.54, 28.11, 2382.5620477199554, 0.12688517570495605, -, 2382.711850643158
BASE, 1, 20.0, -, 18.5, 24.34, 2419.8572039604187, 0.1029360294342041, -, 2419.983027458191
BASE, 2, 20.0, -, 16.43, 24.07, 2397.713912963867, 0.11847519874572754, -, 2397.8552346229553
BASE, 3, 20.0, -, 16.19, 19.53, 2373.42928147316, 0.13114166259765625, -, 2373.5833394527435
BASE, 4, 20.0, -, 24.37, 29.38, 2380.095718383789, 0.08438968658447266, -, 2380.2030470371246
BASE, 5, 20.0, -, 20.2, 22.5, 1335.7746233940125, 0.10085844993591309, -, 1335.8983628749847
BASE, 6, 20.0, -, 21.34, 30.75, 2336.7612903118134, 0.2301948070526123, -, 2337.014267683029
BASE, 7, 20.0, -, 20.1, 23.01, 2448.8520526885986, 0.1417064666748047, -, 2449.0168685913086
BASE, 8, 20.0, -, 26.44, 27.05, 2104.468834877014, 0.04187202453613281, -, 2104.533618927002
BASE, 9, 20.0, -, 18.23, 30.48, 1031.1399767398834, 0.17591094970703125, -, 1031.3386645317078
