BASE, 0, 20.0, -, 18.6, 21.17, 1555.565419435501, 0.01929187774658203, -, 1555.5917809009552
BASE, 1, 20.0, -, 17.03, 18.3, 1566.8654518127441, 0.051480770111083984, -, 1566.924608707428
BASE, 2, 20.0, -, 18.1, 24.57, 1571.0375785827637, 0.02516031265258789, -, 1571.0698764324188
BASE, 3, 20.0, -, 17.96, 21.47, 1576.0676171779633, 0.02733302116394043, -, 1576.1021082401276
BASE, 4, 20.0, -, 21.54, 23.51, 1569.0204060077667, 0.0222475528717041, -, 1569.0498068332672
BASE, 5, 20.0, -, 18.96, 24.31, 1571.810875415802, 0.03285670280456543, -, 1571.8508532047272
BASE, 6, 20.0, -, 19.73, 20.03, 1572.319129228592, 0.02195143699645996, -, 1572.348290681839
BASE, 7, 20.0, -, 19.6, 20.8, 1571.1380882263184, 0.019541263580322266, -, 1571.1648092269897
BASE, 8, 20.0, -, 22.2, 23.34, 1568.7174470424652, 0.030193805694580078, -, 1568.7547295093536
BASE, 9, 20.0, -, 20.7, 21.27, 1570.9978897571564, 0.024721860885620117, -, 1571.0297651290894
