TASML, 0, 20.0, 26.61, 24.44, 55.69, 15.152957677841187, 93.12552571296692, 0.06960082054138184, 108.3628101348877
TASML, 1, 20.0, 16.59, 19.57, 30.85, 15.078253507614136, 84.76751518249512, 0.0641624927520752, 99.92457485198975
TASML, 2, 20.0, 20.6, 23.61, 33.29, 14.948410034179688, 86.85976481437683, 0.10144329071044922, 101.92432260513306
TASML, 3, 20.0, 17.06, 23.97, 44.71, 15.08707571029663, 71.27934432029724, 0.07437252998352051, 86.45553755760193
TASML, 4, 20.0, 21.07, 24.77, 35.23, 15.015517950057983, 67.06158447265625, 0.07044672966003418, 82.16220188140869
TASML, 5, 20.0, 23.24, 24.74, 45.11, 15.05621337890625, 72.51900434494019, 0.06419610977172852, 87.65423464775085
TASML, 6, 20.0, 19.43, 19.5, 25.68, 15.082455396652222, 86.97722029685974, 0.03519749641418457, 102.10964798927307
TASML, 7, 20.0, 16.39, 18.7, 48.15, 15.291007280349731, 91.2935118675232, 0.09409952163696289, 106.69328665733337
TASML, 8, 20.0, 17.86, 20.67, 40.63, 14.951813697814941, 55.00711679458618, 0.08199524879455566, 70.05571269989014
TASML, 9, 20.0, 20.5, 21.64, 28.45, 15.143873929977417, 80.05423164367676, 0.023566484451293945, 95.23606157302856
