MAML, 0, 20.0, -, 19.63, 47.95, -, 45.43642449378967, 0.21056103706359863, 45.67030191421509
MAML, 0, 20.0, -, 19.73, 58.66, -, 83.31610178947449, 0.07561373710632324, 83.39880013465881
MAML, 1, 20.0, -, 20.67, 35.79, -, 123.04181838035583, 0.06439852714538574, 123.11350131034851
MAML, 2, 20.0, -, 20.27, 40.9, -, 173.28442311286926, 0.08719897270202637, 173.3789825439453
MAML, 3, 20.0, -, 18.6, 40.0, -, 110.56710386276245, 0.0792694091796875, 110.65372228622437
MAML, 4, 20.0, -, 19.77, 41.6, -, 162.44091296195984, 0.04702305793762207, 162.49540495872498
MAML, 5, 20.0, -, 23.34, 49.95, -, 115.5349531173706, 0.05840253829956055, 115.60071563720703
MAML, 6, 20.0, -, 17.8, 27.25, -, 169.94165062904358, 0.05591154098510742, 170.00496649742126
MAML, 7, 20.0, -, 17.7, 55.76, -, 127.80578279495239, 0.09369707107543945, 127.90683913230896
MAML, 8, 20.0, -, 19.97, 44.71, -, 139.47394275665283, 0.05887913703918457, 139.54015684127808
MAML, 9, 20.0, -, 18.96, 31.99, -, 136.07960987091064, 0.04648780822753906, 136.1345510482788
