MAML, 0, 20.0, -, 20.73, 63.77, -, 1278.1341345310211, 0.22000646591186523, 1278.3875653743744
MAML, 1, 20.0, -, 18.7, 31.85, -, 902.5757584571838, 0.12999796867370605, 902.7524704933167
MAML, 2, 20.0, -, 18.5, 45.94, -, 604.9903206825256, 0.32802486419677734, 605.357296705246
MAML, 3, 20.0, -, 18.86, 42.3, -, 728.2167744636536, 0.2411661148071289, 728.5408592224121
MAML, 4, 20.0, -, 19.3, 46.34, -, 604.9276485443115, 0.2391369342803955, 605.2002513408661
MAML, 5, 20.0, -, 19.03, 45.44, -, 655.671089887619, 0.0871121883392334, 655.7918238639832
MAML, 6, 20.0, -, 17.66, 33.69, -, 1313.3526079654694, 0.09677672386169434, 1313.4829185009003
MAML, 7, 20.0, -, 16.26, 53.96, -, 368.7509870529175, 0.45382261276245117, 369.23865151405334
MAML, 8, 20.0, -, 18.56, 50.02, -, 906.7306852340698, 0.08906364440917969, 906.853369474411
MAML, 9, 20.0, -, 21.47, 33.49, -, 1030.4368164539337, 0.1586620807647705, 1030.6288907527924
