BASE, 0, 20.0, -, 20.73, 29.95, 315.13514399528503, 0.09762835502624512, -, 315.2781798839569
BASE, 1, 20.0, -, 18.5, 20.37, 328.3368101119995, 0.09734606742858887, -, 328.46759486198425
BASE, 2, 20.0, -, 21.4, 27.61, 257.9892556667328, 0.13351225852966309, -, 258.1560513973236
BASE, 3, 20.0, -, 18.36, 27.98, 304.67093539237976, 0.05433154106140137, -, 304.76666474342346
BASE, 4, 20.0, -, 18.93, 23.54, 261.87577724456787, 0.06537890434265137, -, 261.97466468811035
BASE, 5, 20.0, -, 21.8, 23.21, 349.87005519866943, 0.06508421897888184, -, 349.9780287742615
BASE, 6, 20.0, -, 16.39, 21.74, 306.449768781662, 0.07639050483703613, -, 306.56454491615295
BASE, 7, 20.0, -, 17.16, 27.25, 279.0249149799347, 0.1305382251739502, -, 279.1890060901642
BASE, 8, 20.0, -, 21.54, 25.91, 315.33067417144775, 0.11858630180358887, -, 315.4827265739441
BASE, 9, 20.0, -, 18.66, 22.5, 271.75508856773376, 0.043973684310913086, -, 271.83294439315796
